query	clarifying_question	flag
Tell me about kids earth day activities	would you like information on free earth day activities	1
Give me information about Disneyland hotel.	are you looking for directions to a disneyland hotel	1
tell me about diversity	are you looking for a definition of diversity	1
there is a website of the ham radio outlet want to know the web address or swould i open it in your browser	are you a dj	0
do you want to learn how to install weater strips on windows	are you looking for the basics of septic system design	0
are you looking for information about the sports facilities at the school	are you lokking for a place to purchace dog clean uo bags	0
Tell me about Bowflex Power Pro.	would you like to know where to buy one	1
which military generals fought in the battles your most interested in	which verse of the song i will survive do you want to know	0
What is a 403b?	are you looking for withdrawal rules for 403b plan	1
would you like to know about environmental benefits of sustainable lead acid battery recycling	do you want to read reviews about dr zhivago	0
are you looking for netflix	are you looking for employment with sonoma country medical	0
are you looking for home remedies	do you want to purchase an atari game	0
Tell me about american military university.	are you interested in learning more about tuition costs for the american military university	1
would you like to know about awards the uss cole has won	do you also need information about oceanic plates	0
should there be anything else besides the flames	would you like to know more about the declaration of independence	0
are you looking for ron howard biographies	would any specific game interest you	0
Find me information about the sales tax in Illinois.	are you interested in how the illinois state tax is determined	1
I'm looking for information on VLDL levels	what would you like to know about vldl levels	1
what size motor does the ford edge with problems have	are you looking for any specific heatrelated illness in dogs	0
did you know that its 1965 film adaptation got 5 oscars i can give you more details if you want	are you moving to south africa	0
do you want to buy old coins	are you looking for transit routes to oakland from bart sf	0
are you interested in the signs one may show for mad cow disease	do you need more information about the sat test	0
are you looking for biodegradable dog clean up bags	do you want to know about kennycaffey syndorme	0
Tell me about electronic skeet shoot.	do you want to know what electronic skeet shoot is	1
are you looking for signs to expect	what aspect of the flushing remostrance would you like to learn more about	0
are you interested in visiting ontario california airport	are you interested in watching clips of mister rogers neighborhood	0
Find information about the secret garden.	the secret garden has been made into many films and series which version of the secret garden are you intrested in	1
would you like to read news material and bulletins from the maryland department of natural resources	do you want to know 403b contribution limits in 2018	0
are you interested in winter activities	do you want to look at anything that has a black and gold background	0
would you like to know more about ocd	would you like to know more about ocd	0
have you got any specific question regarding furniture size	i can show you his songs lyrics would that be okay	0
Tell me information about Volvo.	are looking for reviews on volvo xc90 suv	1
Tell me information about Volvo.	which part of volvo are you interested in	1
I'd like to learn about moths	do you need to identify a moth	1
do you need a home appraisal	what flushing are you interested in toilet or facial	0
Where can I buy pressure washers?	are you looking to rent a pressure washer	1
do you want to know the best vines for providing shade	which country do you want to find mushrooms in	0
I'm interested in poker tournaments	do you want to know how poker tournaments are played	1
there is a website of the ham radio outlet want to know the web address or swould i open it in your browser	do you want to know the location of unc	0
are you wanting to renovate your home in order to have a theater system	are you looking for pictures of the mgb	0
How to change the toilet in the house	do you need to know how to measure a toilet for installation	1
would you like to know what the causes are	are you referring to the specific company	0
would you like to see a list of new released ps2 games	are you wondering about nasas plans for future travel	0
Find information about the gs pay rate	do you need a gs pay calculator	1
Tell me more about dnr	would you like to fill an application for a hunting licence	1
would any specific game interest you	do you want to know what vines for shade are available in your region	0
are you interested in knowing the avergae salary of an employee of the tennessee highway patrol	do you want to know if there is tour information on the us capitol map	0
would you like to see a list of new released ps2 games	what is your favorite style of teddy bears custommade or mass production	0
would you like more information about the officials in the maryland department of natural resources	which type of antenna are you interested in	0
is your volvo having a maintenance issue	are you looking for continental plate boundaries	0
Tell me about fybromyalgia	do you need mediciation for fibromyalgia	1
would you like to know how much mercedes is worth	do you want to learn how to calculate your vldl levels	0
a total cholesterol of 180 to 200 mgdl 10 to 111 mmoll or less is considered best levels between 70 and 189 mgdl 39 and 105 mmoll are most often considered too high	are you interested in old town scottsdale	0
are you looking for furniture	do you want to know how jaz influenced the world	0
do you need to find out about airport weather delays	do you want to know technical information about tv on computer	0
are you interested in buying some	do you want the lyrics on paper or on video	0
would you like to know more about the cultural impact of teddy bears	do you want directions to hoboken	0
Find information on Porterville.	are you interested in schools in poterville	1
Find sewing instructions for me	would you like to know how to sew on a button	1
are you interested in learning more about tuition costs for the american military university	would you want to know about ron howards acting career	0
Tell me information about Iowa's food stamp program	are you interested in the requirements for applying to the program or the poverty level limits	1
woud you like to know about last supper reproductions	do you need korean language classes	0
Find information on Hoboken	do you want to visit hoboken	1
Tell me information about Volvo.	would you like to know what country volvo is located	1
I'd like to learn about moths	are you really reffering to mothra	1
Tell me about scooters.	do you need a retailer near you	1
are you interested in an online site for diabetes	did you know that there is a charity behind raspberry pi	0
are you looking for the history of butter and margarine	do you want to know other related tests	0
Find me reviews of the les Miserables.	would you like highly rated reviews	1
what is the heart rate youre looking to achieve	are you referring to roosevelt island in the division 2 video game	0
do you like using computers	are you interested int he prognosis of thise diagnosed with wilsons disease	0
I need information on income tax return online	how did you file your previous year taxes	1
are you looking for doctors that treat sore throats	are you looking for the best to purchase	0
What are specific dangers of asbestos?	what exactly do you wanto to know about the dangers of asbestos	1
do you want to know how you get education advantages from using social networking sites	what is ralph owen brewsters education	0
would you like to see a list of new released ps2 games	do you want to know the location of unc	0
are you interested in purchasing an afghanistan flag	do you want to see some closeup of a turbine	0
are you looking for fencebuilding materials	are you interested in the outcomes of the civil war battles in south carolina	0
are you looking for some retailers	would you like to know more about checked baggages rules	0
would you like to find out how much you owe	do you want to know whether living in a home with asbestos insulation can cause people to become sick	0
do you want to buy old coins	would you like to see a comparison of living in india versus living in the usa	0
do you want to know about the cause of von willebrand disease	would you like to read reviews about michworks	0
would you like to know reviews for the best electronic keyboard	would you like to read about dj employment	0
are you interested in when ron howard was younger or his older work	are you wondering about pampered chef competitors	0
would you like to know how butter and margarine affect the food you eat	would you like to know how many deaths occured in the uss cole bombing	0
Find information about tornadoes	do you need to know what to do in case there is a tornado	1
which of the capital gains tax rate are you interested in	would you be interested in learning more about the history of the american military university	0
would you like to know what a weather strip is	are you interested in a standard gravity type of design 3 feet of absorbant soil	0
would you like to see a company with this name	would you like to know about brewsters college education degree and work history	0
What to do in Arkansas	are you looking for weather in arkansas	1
Tell me about electronic skeet shoot.	would you like to see the retailers selling it	1
i can show you locations where you can buy organic products do you want me to do it	do you need to read the rules of a ketogenic feet	0
Tell me about black history.	are you looking for something to read	1
Find information on Hoboken	do you want directions to hoboken	1
are you interested in the television series defender	are you looking for reviews of hotels	0
would you like the legal definition of diversity	may i tell you how much the state income tax in illinois is	0
would you like to know how butter and margarine affect the food you eat	do you want to know how von willebrand disease is treated	0
are you referring to facebook instagram linkedin or twitter regarding educational advantages	what was the price range you were looking for	0
are you looking for specific information regarding an equal opportunity employer	do you want to know if some people are allergic to cannellini beans	0
are you referring to a certain philosohper	would you like to know what figs taste like	0
are you interested in pictures of worms	are you looking for more information on food stamps in iowa	0
tell me about tangible personal property tax	do you want to know the difference between that and other taxes	1
what do you need to know about wilsons disease	are you looking for a specific model or part	0
are you looking for the college	are you looking for a musical keyboard or a computer keyboard	0
How should I use the septic system design	are you looking for information on its maintenance	1
where to go if I made a crime in Brazil	are you planning a trip to brazil	1
Tell me about hotels in New York.	would you like a list of new york hotels	1
do you want to find out what the hawaiian volcano observatories have been monitoring	would you like to find out more about the origin of the name teddy bear	0
tell me about Voyager	are you interested in the history of the voyager	1
do you want to file your income tax return through the internal revenue online	do you want to adopt from a shelter or an individual owner	0
would you like to know about awards the uss cole has won	are you interested in a list of companies in which you can get credit reports	0
tell me about cass county missouri	can i help you find something on a map	1
would you like to buy the book the art of war	would you like a list of rock and gem shows in 2018	0
would you like to know more information about writing a thank you email	are you referring to shakespear	0
is this the topic of a reseach paper that you may be writing	is uss carl vilson log available	0
I'm looking for information on Rick Warren.	are you trying to find more information about rick warren	1
are you looking for furniture	do you just want to rated keyboards	0
where can i read about uss carl vilson	would you like to know if male menopause is a real ailment	0
are you looking to see how much computer programming lessons cost	do you have questions about the wilson antenna warrenty	0
do you want a tourist map	are you looking for furniture for a specific room	0
Tell me more about Rocky Mountain News	do you want to watch news videos or read the news	1
Find sewing instructions for me	how experienced are you at sewing	1
would you like to know about blushing	are you referring to uncooked eggs or an egg product	0
are you interested in a specific golf gps system	are you interested in raffles tv series	0
Tell me about the pacific northwest laboratory.	are you looking for jobs in richland	1
which city in arkansas are you interested in	standard italien or modern	0
would you like to know how gps works	do you want to know how old rick warren is	0
Find information about penguins.	are you looking for any specific information about the birds	1
would you like to know the home port of the uss carl vinson	are you wondering where the ritz carlton in las vegas is located	0
Tell me more about Euclid	are you looking for a company	1
Give me information on solar panels.	do you want annual savings totals if you install solar panels	1
would you like to compare specific ps 2 games	do you want the middle names of all of the presidents	0
do you like to know more about writing thank you notes for an interview	would you like a list of new york hotels	0
are you interested in how african american music influenced american culture	why are you interested in the patron saint of mental illness	0
What is equal opportunity employer?	would you like to know the history of the equal opportunity employer act	1
are you looking for some fun facts	do you want to know how to become one	0
Tell me about scooters.	are you looking to rent a scooter	1
are you interested in the levels of dangers associated with asbsestos	do you want to know where dark chocolate is made	0
do you want to know about short term or long term capital gains tax rate	are you looking for a specific job or the job search site	0
I'm looking for information on duchess county tourism	are you interested in the farm fresh tours	1
are you interested in the years inuyasha was shown in tv	are you trying to find a contractor	0
I'd like to learn about joints	are you looking for information on the purpose of joints	1
How to write a thank you letter after an interview?	are you looking for an interview preparation guide	1
Tell me about furniture for small spaces.	what type of furniture are you looking for	1
are you looking for lab jobs	are you using this around the yard	0
are you looking for signs to expect	do you need a home appraisal	0
are you referring to the philosopher aristotole	are you interested in knowng what common drugs can treat schizophrenia	0
how do you want your egg to be	how do you want your egg to be	0
would any specific game interest you	what do you want to know about the uss cole	0
do you want a designer dog	are you using this around the yard	0
Information about raffles	are you interested in buying tickets to a raffle	1
do you want black and white or colored designs	are you looking for events	0
would any specific game interest you	are you interested in a specific part	0
are you looking for the middle names of the early presidents	are you looking for a specific website	0
what size motor does the ford edge with problems have	do you want to buy a book about raised gardens	0
what problem is your horse having with their hooves	do you want tips on how to be successful in an interview	0
are you looking for information about the sports facilities at the school	what framework are you using for training	0
are you interested in buying some	do you want to sell old coins	0
Find information about the gs pay rate	what gs pay scale are you looking for	1
is this the topic of a reseach paper that you may be writing	are you interested in a certain inuyasha character	0
Find sewing instructions for me	would you like instructions on how to use a sewing machine	1
Tell me information about Volvo.	which model of volvo are you interested in getting information about	1
How to change the toilet in the house	are you looking for specific products related to toilets	1
are you looking for specific products related to getting organized	would you like a list of reviews for the film rain man	0
are you referring to the name of elvis presleys house	do you want information on the differenct services that are provided	0
would any specific game interest you	are you wanting to know what it is	0
Find information on Hoboken	would you like to know the history of hoboken	1
do you want to know about short term or long term capital gains tax rate	what form of media do you prefer to learn about game theory in	0
do you want to find recipes to learn how to make magnesium rich foods	do you want to know how jaz influenced the world	0
are you searching in relation to the event in bryant park	are you looking for a deadliest catch product	0
Tell me about Afganistan.	do you want to know the history of afganistan	1
do you want to know about companies that provide indexed annuities	what brand of keyboards are you looking for	0
do you want to know where the uss yorktown is currently located	would you like to know the history of the equal opportunity employer act	0
are you looking for the college	are you looking for the college	0
are you looking for a clinic that specializes in this	are you looking for halloween movie to watch with the middle school kids	0
I'm looking for information on jax chemical company	would you like to see their homepage	1
Find more information about baldness cure	are you looking for quick balding cures	1
do you need instructions for cooking rice	would you like the address for elvis presleys home	0
are you interested in knowing what started the civil rights movement	are you looking for the script for the music man	0
do you need a phone number	do you have a fever	0
I'm looking for flame designs	should there be anything else besides the flames	1
would you like me to direct you to emergency services	do you want to know what details are on a us capitol map	0
how to hire disc jockey	are you looking for reviews of djs	1
are you interested in digital pianos	would you like to know the different designs of hip roofs	0
Give me information about Titan.	are you referring to the watch brand	1
When can I see Churchil Downs	are you interested in a schedule of events from churchill downs	1
I'm looking for flame designs	are you looking for flame design tracers	1
tell me about dark chocolate health benefits	do you want to know where dark chocolate is made	1
are you interested in easy earth day activities	do you want stores with physical locations or online stores	0
would you like to know where the observatories are located	would you like to learn about weather stripping	0
Tell me about avp	are you referring to alien vs predator	1
Fine me beef stroganoff recipe	would you like to cook the beef stroganoff in an instant pot or do you prefer an oven	1
Tell me about kansas city mo	are you looking for a specific web site	1
are you looking to rent a scooter	are you looking for hoboken hotels	0
are you interesting in buying furniture	do you have pain on both sides of your throat	0
do you want to file your income tax return through the internal revenue online	what country spider bites are you interested in identifying	0
are you looking for the history of butter and margarine	are you interested in the history of atari	0
woud you like to know about last supper reproductions	are you searching for an image for lipoma	0
Find information about flushing.	what aspect of the flushing remostrance would you like to learn more about	1
do you plan to sign up for coverage online	which tornados were the most devastating	0
Tell me more about HP mini 2140	are you looking for the nearest store you can buy hp mini 2140	1
are you looking for the history of butter and margarine	would like to know the story behind sun tzu	0
tell me about dark chocolate health benefits	do you want to know the origins of dark chocolate	1
would you like to see the most effective methods of gmat prep	what gs pay scale are you looking for	0
how to hire disc jockey	are you looking to find a djs website	1
I'm interested in InuYasha	would you like to know more about the inuyasha illustrator and writer	1
are you interested in the history of the korean language	do you think the best long term care insurance is right for you	0
are you looking for signs to expect	would like to know about any specific sports team	0
Tell me bio of george bush sr.	do you want to know the most important events of george bush srs life	1
Tell me about Internet phone serices.	is there a specific internet company you need information on	1
are you interested in satellite maps	are you referring to the american military university as in the actual school	0
I'm looking for information on web design and hosting.	are you interested in free websites or would you like your own domain	1
Find information on ontario california airport.	from which airport are you leaving	1
would you like to know if hes chinese of japanese	would you like to know if hes chinese of japanese	0
are you looking for golf ball sized gps technologies	are you looking for parts for the mgb	0
tell me about mgb	are you looking for more information about mgb	1
are you looking for things to do around that area	would you like to see pictures to help you identify spider bites	0
are you asking about health benefits	do you need directions from your location to the uss yorktown	0
How can I lower my heart rate?	do you want dietary recommendations	1
would you like to know more about the cultural impact of teddy bears	would you like to know the history of churchill downs	0
are you looking for a specific observatory	are you referring to shakespear	0
Tell me about cell phones.	what brand of cell phones are you interested in	1
I'm looking for information on the president of the united states	do you want to learn about our president	1
would you like to see a price range for appraisals	do you like using computers	0
Find me information about PVC	what aspect of pvc are you interested in the manufacturing or the applications	1
are you referring to a certain philosohper	are you interested in knowng how to use a hair dye properly	0
are you looking for any specific facilities	are you interested in the mister rogers movie	0
are you interested in purchasing the book	what sport are you interested in	0
What should I know about the civil war	are you looking for large battles	1
Find information about the gs pay rate	are you looking for information about any specific federal agencies	1
are you looking for information on the cast and crew for rain man	do you plan to sign up for coverage online	0
are you interested in something specific about martha stewart and imclone	would you like to know how to protect wood from carpenterter bees	0
would you like to know where it originates from	would you like an active or relaxed dog	0
are you interested in digital pianos	do you want to know how to start the feet	0
Is Kenmore heater good	do you want to compare different models	1
would you like to know where to book a holiday? what country would you like your holiday to be in	are you looking for all the ingredients for chicken soup	0
are you interested in the nicolas cage movie for which cage won the best actor oscar	would you like historical information on madam cj walker	0
do you want interpretation of running down	do you want interpretation of running down	0
do you want to know how many different types of worms there are	do you want to know what vines for shade are available in your region	0
Information about east ridge high school.	are you looking for a specific web site	1
are you looking for furniture	would you like to schedule an appointment with dr zhivago	0
is there a specific neighborhood you are interested in	would you like a list of websites that show workouts for elliptical trainers	0
Give me information about Titan.	are you interested in a specific web page	1
are you looking for the medical billing code for this disorder	is there one in particular you are interested in	0
When can I see Churchil Downs	are you looking for directions to churchill downs	1
would you like to know about awards the uss cole has won	how do you know if your internet service is inexpensive	0
do you want general information about the test	are you wondering what elevation is at risk	0
are you referring to the the department of natural resources in maryland	are you interested in real estate near the sangre de cristo mountains	0
there is a website of the ham radio outlet want to know the web address or swould i open it in your browser	are you looking for chicken soup made from scratch by famouss chefs	0
tell me about wilson antenna	what model of wilson antenna are you inquiring about	1
Find information about elliptical trainer	would you like a list of websites that show workouts for elliptical trainers	1
Tell me about making chicken soup from scratch.	would you like the instructions for making chicken soup from scratch	1
would you like to know reviews for the best electronic keyboard	would you like to know about the current population numbers of blue throated hummingbirds	0
What can I do in sherwood regional library	are you looking for any specific information about the library	1
would you like to know why dogs heat up	are you seeing if rick warren is still alive	0
would you like to read news material and bulletins from the maryland department of natural resources	are you interested in reading ketogenic feet reviews	0
How can I lower my heart rate?	are you planning to run or exercise	1
are you interested in knowing what started the civil rights movement	if youre interested in recipes would you like savory or sweet receipes do you have other specific ingredients in mind	0
would you rather read some reviews about avp antivirus	are you looking for a summary of the music man plot	0
What is von Willebrand Disease?	do you want to know about the cause of von willebrand disease	1
Information about bobcat	are you looking for a specific web site	1
I’m looking for information on worm	do you want to know how many different types of worms there are	1
are you interested in purchasing an afghanistan flag	are you interested in the uss carl vinsons dimensions	0
would you like to compare specific ps 2 games	do you want to download drivers for the hp mini 2140	0
would you like to know maore about getting the best used car parts	would you like to know more about its history	0
How to register dmv in va?	do you want to obtain forms from the dmv	1
are you wondering about which spacecraft have reached other planets	do you plan to sign up for coverage online	0
which reporters are you interested in reading articles from	would you like to know if there is a cure	0
Give me espn sports information.	are you looking for information on a specific league	1
Find me map of USA	are you interested in knowning the 50 states in the world	1
Tell me about avp	would you like information about the alternatives to violence project	1
Tell me about folk remedies for a sore throat.	do you want to learn about home health care when you have a sore throat	1
Tell me about kids earth day activities	what age of kid would be completing the activity	1
which neighborhood in cass county are you interested in	are you trying to find out the difference between 401k and 403b	0
are you looking for information on how its scored	would you like to learn about the real story that inspired the movie	0
What is von Willebrand Disease?	which type of von willebrand disease do you want information about	1
How to write a thank you letter after an interview?	are you interested in interview thank you letters	1
i will survive lyrics	do you want to know who sings i will survive	1
are you looking to find out what game platforms you can play the beatles rock bank game on	do you need to know what are symptoms of the injury	0
I'm looking for information on jax chemical company	would you like to see their homepage	1
would you like to know about awards the uss cole has won	would you like to know more about writing interview thank you letters	0
is your volvo having a maintenance issue	would you like to know what negative effects a hair dye can have in health	0
do you want to know where the uss yorktown is currently located	are you looking for mitchell colleges course catelog	0
are you interested in the years inuyasha was shown in tv	are you looking for activities for the day	0
are you interested in a specific golf gps system	do you want black and white or colored designs	0
Find me information about diabetes education	are you searching for prevention tools	1
are you wanting to renovate your home in order to have a theater system	do you want to know the animal population at fickle creek farm	0
is there a specific brand that you would like to know more about	do you need directions to french lick resort and casino	0
what place do you want a map of	which atari game system would you like to know about	0
Where can I find cheap internet	are you looking for any bundles or deals	1
are you trying to login to the boards website	do you want to know foreigners feelings about living in india	0
are you referring to the the department of natural resources in maryland	are you referring to a crazy person	0
should there be anything else besides the flames	are you looking for a specific type of solar panels	0
are you interested in how african american music influenced american culture	would you like information about cholesterol reports	0
what major are you interested in	do you want to know when the first summer olympic games were	0
Tell me more about horse hooves	are you asking about a horses feet	1
are you referring to the name of elvis presleys house	are you referring to the name of elvis presleys house	0
are you interested in fred rogers	there are some interesting historical facts about cass county shall i show them to you	0
do you want to know about specific key people	are you using this around the yard	0
what information would you like in regards to an equal opportunity employer	do you want examples of ocd	0
Tell me about avp	would you like information about the alternatives to violence project	1
which afghanistan flag are you interested in learning about the current one or a past version	what items are you interested in flushing down the toilet	0
discovery channel store	do you need to see what is sold there	1
are you looking for advice on how to play soccer	do you need to purchase a bart ticket	0
How to cook pork tenderlion	price of a pork tenderloin	1
are you looking for who invented the first instruments	are you looking for reviews of a specific chicken soup recipe from scratch	0
are you looking for chicken soup made from scratch by famouss chefs	are you referring to bellevue nebraska	0
Where can I find information about forearm pain?	are you interested in the anatomy of forearms	1
Tell me more about horse hooves	are you looking for information about horseshoe	1
would you like to know how to sew a dress	would you like to know more about hr block	0
which military generals fought in the battles your most interested in	is there a specific representative that you need contact information for	0
are you looking for the middle names of the early presidents	do you want to know where to find adobe indian houses	0
what entity are you referring to with this acrocym	are you looking to organize your course work	0
Where can I find information about forearm pain?	does your forearm hurt from twisting	1
Tell me about texas border patrol.	are you trying to find out if they can use deadly force	1
which neighborhood in cass county are you interested in	do you want information on how to keep your credit report good	0
what time of year are you looking for mushrooms	do you want to find an online forum about bhp treatment	0
would you like the legal definition of diversity	are you looking for treatments for carpal tunnel syndrome	0
would you like to see how it looks like	is there a specific time period you are interested in	0
are you wondering what pampered chef sells	are you wondering what pampered chef sells	0
would you like to watch videos about how figs grow andor how to prepare them	are you interested in the the nutritional value of butter and margarine	0
are you interested in pictures of worms	are you looking for any specific lyrics	0
do you want to know how to use the bowflex power pro	would you like to know how a program is executed	0
what do you need to know about wilsons disease	are you interested in the quote from hamlet	0
are you referring to the nile river	do you want to watch the music man film	0
did you know that its 1965 film adaptation got 5 oscars i can give you more details if you want	would you like to know more about sir stamford raffles	0
do you want to rent or buy a condo	are you looking for locations that have the scooters	0
i looking for current positions	how fast do you want the coverage to grow	0
How can I lower my heart rate?	would you like to know what effects blood pressure and cholesterol	1
tell me about diversity	do you need information on financial diversity	1
Find information about atari	are you interested in buying a new atari game console	1
woud you like to know about last supper reproductions	would you like the location of the arizona fish and game comission	0
do you want to know who is eligible for the tangible personal property tax	are you looking for a health club or a country club	0
do you want to know how many square miles afghanistan is	would you like to see mister rogers biography	0
Find information about penguins.	are you interested in where penguins live	1
What should I know about the civil war	do you need a list of civil war battles	1
I’m looking for blue throated hummingbird	would you like to learn about how blue throated hummingbirds eat	1
I'd like to learn about joints	are you asking about cannabis	1
are you looking to rent a scooter	are you interested in finding out where occupational therapists work	0
would you like to know about walkers method of perming hair	are you wanting the rates for the ritz carlton in las vegas	0
are you referring to a certain philosohper	are you looking for coupons	0
are you interested leaning about carpal tunnel syndrome symptoms	are you referring to the author of the art of war	0
I'm looking for information on the beatles rock band	are you looking to find out about the albums of the beatles	1
what are your budget priorities for your wedding	would you like to learn basics for sewing	0
are you interested in jehovahs witnesses and blood transfusions	are you interested in what george bush srs policies were	0
are you interested in barbados	would you like more information about the challenges of living in india	0
Tell me about american military university.	are you wanting to know its location	1
Tell me about Starbucks.	do you need contact information for starbucks	1
would you like to know how butter and margarine affect the food you eat	do you want to look at life expectancy for this illness	0
Tell me about er television show.	what season of er are you interested in	1
Find Brooks Brothers clearance.	are you looking to buy a suit	1
would you like to know more about the cultural impact of teddy bears	which american revolution battles are you interested in	0
Find information about flushing.	are you referring to flushing new york	1
Tell me information about Iowa's food stamp program	are you looking for a specific web site	1
are you trying to learn the korean language	are you looking for a map of the bart system	0
are you wondering about nasas plans for future travel	are you looking for the information how 403b plan works	0
would you like a list of best hair dyes for type of hair	what price range are you looking at for a hayride in pennsylvania	0
I'm looking for information on Rick Warren.	are you looking for a political debate	1
Tell me about Afganistan.	are you looking for any specific details on the safety of afghanistan	1
do you want to know who the main actor is in er tv show	are you looking for recipes with figs	0
do you plan to sign up for coverage online	what information do you need about bart sf	0
are you looking for reviews of gps apps	are you looking for instructions on how to use your gps device	0
how does carpenterter bee look like	are you looking to find out unique middle names that presidents have had	0
are you interested in pictures of worms	does the evidence have to be factual	0
Find me information about the Last Supper painting.	would you like to see a picture of the painting	1
are you looking for a definition of diversity	are you looking for information on a type of jewelry manufactured in south dakota	0
What should I know about the civil war	do you want specific or general details on battles	1
would you liketo know where kiwi fruit is grown	are you looking for large battles	0
Tell me about Bellevue.	do you need information about bellevue nebraska	1
do you want to buy old coins	are you interested in what george bush srs policies were	0
What was the name of Elvis Presley's home?	are you looking to see how long elvis presley lived in his home	1
are you interested in digital pianos	are you looking for michworks career information	0
Tell me about furniture for small spaces.	have you got any specific question regarding furniture size	1
what are you interested in knowng about the life expectancy of larger dogs	which age group is of more interest to you	0
are you interested in something specific about martha stewart and imclone	are you looking for a specific store	0
do you want to sell used car parts	are you looking for a second hand music store near you	0
Information about east ridge high school.	do you need the address of east ridge high school	1
Child support in Indiana?	do you owe child support in indiana	1
would you like to know how much mercedes is worth	are you referring to the space mission or anything else	0
do you want themed maps	are you interested in hallmark visitors center	0
Tell me more about horse hooves	do you want to know what horse hooves are made from	1
are you interested in the levels of dangers associated with asbsestos	is the color to match your natural color or not 	0
Tell me about cell phones.	were you looking for how cell phones work	1
do you need directions to your local vet	are you looking for anything specific in terms of equal opportunity discrimination	0
which dinosaurs are you interested in	are you looking for food in hoboken	0
would you like to know if hes chinese of japanese	would you like to see all listings for casinos in french lick	0
do you want a biography	are you interested in fishing report from maryland department of natural resources	0
are you looking for specific products related to getting organized	what do you need appraised	0
are you looking for any specific heatrelated illness in dogs	are you referring to a food stamp program that is current or a historical one	0
are you trying to login to the boards website	do you want movie reviews	0
are you referring to the the department of natural resources in maryland	are you looking for a contact number for the city government	0
Where can I find cheap internet	are you wondering which provider has the cheapest internet	1
are you looking for a hospital in new york ny	do you need treatment information for lipoma	0
would you like to know about environmental benefits of sustainable lead acid battery recycling	would you like the evolution of men or women	0
what problem is your horse having with their hooves	do you like to know benefits of yoga in the morning	0
I'm looking for information on the beatles rock band	would you like to know of upcoming concert dates	1
are you wanting to renovate your home in order to have a theater system	are you looking for a health club or a country club	0
what year do you want to know the president for	are you looking to dye your hair	0
which of the capital gains tax rate are you interested in	do you want to know about a management position	0
where can i read about uss carl vilson	would you like to pick parts yourself from a salvage yard	0
do you want to know who is eligible for the tangible personal property tax	are you curious about the size	0
are you referring to a certain philosohper	are you interested in the reasons a lump in the throat occurs	0
do you need a phone number	do you want to know how many types of coffee starbucks has	0
What is California Franchise Tax Board	do you want to know the address	1
Find me information about the Ritz Carlton Lake Las Vegas.	would you like the history of ritz carlton lake las vegas	1
